../build/src/gnucap -a ../gnucap-icarus/gnucap-icarus.so -c verilog netlist-dkc.sp </dev/null  -- gnucap-icarus as plugin
Gnucap 2009.02.02 RCS 26.109
The Gnu Circuit Analysis Package
Never trust any version less than 1.0
Copyright 1982-2007, Albert Davis
Gnucap comes with ABSOLUTELY NO WARRANTY
This is free software, and you are welcome
to redistribute it under the terms of 
the GNU General Public License, version 3 or later.
See the file "COPYING" for details.
transient: already installed, replacing
stashing as transient:0
#Time       v(gnd!)    v(n1)      v(n2)      v(n3)      v(n4)      v(n5)      v(vdd!)   
0.0 IN ->z
 0.         0.         0.         3.         8.3195n    3.         8.3195n    3.        
 250.p      20.f       3.         0.0068587  2.9702     0.010628   2.9942     3.        
 260.p      19.f       3.         0.004928   2.9845     0.0049183  2.9979     3.        
 270.p      16.f       3.         0.0032708  2.9918     0.0022901  2.999      3.        
 280.p      18.f       3.         0.0022576  2.9959     0.0019344  2.9998     3.        
 290.p      17.f       3.         0.0013107  2.9977     923.99u    2.9986     3.        
29.9 OUT->0 IN=1
 300.p      16.f       3.         0.0014738  2.9963     0.0013666  3.0004     3.        
 310.p      18.f       19.124n   -0.40705    2.9141    -0.01498    2.9923     3.        
 320.p      3.f       -17.735n    0.53429    3.1692     0.042959   3.0248     3.        
 330.p     -4.f       -17.87n     1.3359     3.1487    -0.0041472  2.987      3.        
 340.p     -4.f       -18.048n    1.9187     2.7987    -0.060034   2.9795     3.        
 350.p     -3.f       -18.207n    2.2628     2.1663    -0.12071    2.9776     3.        
 360.p     -1.f        18.487n    2.4529     1.416     -0.086256   3.0146     3.        
 370.p      1.f       -18.297n    2.5819     0.75617    0.17332    3.104      3.        
 380.p      1.f        18.488n    2.7117     0.37349    0.69501    3.2132     3.        
 390.p      2.f       -18.317n    2.8274     0.21918    1.2838     3.0433     3.        
 400.p      0.        -18.349n    2.8993     0.13802    1.7304     2.3696     3.        
40.7 IN ->0
 410.p     -2.f       -18.363n    2.9388     0.075337   1.9629     1.1378     3.        
 420.p     -5.f        18.407n    2.9686     0.062655   2.2211     0.23689    3.        
 430.p     -2.f       -18.38n     2.9866     0.069408   2.548      0.05072    3.        
 440.p     -2.f        18.385n    2.9898     0.050174   2.7672     0.046516   3.        
 450.p     -2.f       -18.384n    2.9906     0.027479   2.8756     0.015018   3.        
 460.p     -1.f        18.389n    2.9926     0.015639   2.9376     0.011883   3.        
 470.p     -2.f       -18.382n    2.9936     0.0079158  2.9673     0.0040412  3.        
 480.p     -3.f        18.387n    2.9957     0.004485   2.9838     0.0030582  3.        
 490.p     -3.f       -18.381n    2.9961     0.0021532  2.9915     0.0010785  3.        
 500.p     -2.f        18.383n    2.9969     0.0028275  2.9961     952.7u     3.        
50.7 OUT->1 IN=0
 510.p     -1.f       -18.38n     2.9975     712.98u    2.9976     63.639u    3.        
 520.p      2.f        3.         3.1858     0.033583   3.0049     0.0032456  3.        
 530.p     -1.f        3.         1.863     -0.219      2.9468    -0.016924   3.        
 540.p      6.f        3.         0.84      -0.064346   3.0129     0.015267   3.        
 550.p      18.f       3.         0.35345    0.44749    3.1142     0.021062   3.        
 560.p      23.f       3.         0.20266    1.124      3.1432    -0.0046323  3.        
 570.p      21.f       3.         0.14347    1.7156     2.9043    -0.062023   3.        
 580.p      26.f       3.         0.096736   2.1221     2.386     -0.12916    3.        
 590.p      23.f       3.         0.059209   2.3611     1.6864    -0.11208    3.        
 600.p      21.f       3.         0.037882   2.5175     1.0083     0.20747    3.        
 610.p      26.f       3.         0.034014   2.6781     0.63886    1.2964     3.        
60.9 IN ->1
 620.p      25.f       3.         0.026134   2.7933     0.41583    2.3973     3.        
 630.p      29.f       3.         0.014579   2.8524     0.1974     2.8605     3.        
 640.p      29.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 650.p      30.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 660.p      28.f       3.         0.006854   2.9703     0.010596   2.9942     3.        
 670.p      28.f       3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 680.p      28.f       3.         0.0032696  2.9919     0.0022846  2.999      3.        
 690.p      28.f       3.         0.0022503  2.9959     0.0019287  2.9998     3.        
 700.p      29.f       3.         0.0013128  2.9977     922.47u    2.9986     3.        
70.9 OUT->0 IN=1
 710.p      31.f       3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 720.p      31.f       743.78p   -0.40704    2.9141    -0.01498    2.9923     3.        
 730.p      1.f        646.14p    0.5343     3.1692     0.042958   3.0248     3.        
 740.p     -2.f        510.5p     1.3359     3.1487    -0.004148   2.987      3.        
 750.p     -4.f        332.97p    1.9187     2.7987    -0.060034   2.9795     3.        
 760.p     -1.f        174.18p    2.2628     2.1663    -0.12071    2.9776     3.        
 770.p     -2.f        106.45p    2.4529     1.4159    -0.086254   3.0146     3.        
 780.p      0.         84.01p     2.5819     0.75617    0.17333    3.104      3.        
 790.p     -1.f        107.53p    2.7117     0.37349    0.69502    3.2132     3.        
 800.p     -2.f        63.363p    2.8274     0.21918    1.2838     3.0433     3.        
 810.p     -3.f        32.069p    2.8993     0.13802    1.7304     2.3696     3.        
81.7 IN ->0
 820.p     -7.f        17.833p    2.9388     0.075337   1.9629     1.1377     3.        
 830.p     -6.f        26.111p    2.9686     0.062655   2.2211     0.23688    3.        
 840.p     -6.f        560.f      2.9866     0.069408   2.548      0.050721   3.        
 850.p     -6.f        4.126p     2.9898     0.050173   2.7672     0.046515   3.        
 860.p     -4.f       -2.991p     2.9906     0.027479   2.8756     0.015018   3.        
 870.p     -4.f        8.301p     2.9926     0.015639   2.9376     0.011883   3.        
 880.p     -3.f       -893.f      2.9936     0.0079157  2.9673     0.0040412  3.        
 890.p     -4.f        6.694p     2.9957     0.0044849  2.9838     0.0030582  3.        
 900.p     -1.f        52.f       2.9961     0.0021531  2.9915     0.0010785  3.        
 910.p     -2.f        2.374p     2.9969     0.0028275  2.9961     952.68u    3.        
91.7 OUT->1 IN=0
 920.p      0.         960.f      2.9975     712.97u    2.9976     63.64u     3.        
 930.p      1.f        3.         3.1858     0.033583   3.0049     0.0032456  3.        
 940.p     -3.f        3.         1.863     -0.219      2.9468    -0.016924   3.        
 950.p      4.f        3.         0.84      -0.064346   3.0129     0.015267   3.        
 960.p      12.f       3.         0.35345    0.44749    3.1142     0.021062   3.        
 970.p      10.f       3.         0.20266    1.124      3.1432    -0.0046323  3.        
 980.p      12.f       3.         0.14347    1.7156     2.9043    -0.062023   3.        
 990.p      15.f       3.         0.096736   2.1221     2.386     -0.12916    3.        
 1.n        11.f       3.         0.059209   2.3611     1.6864    -0.11208    3.        
 1.01n      12.f       3.         0.037882   2.5175     1.0083     0.20747    3.        
 1.02n      16.f       3.         0.034014   2.6781     0.63886    1.2964     3.        
101.9 IN ->1
 1.03n      17.f       3.         0.026134   2.7933     0.41583    2.3973     3.        
 1.04n      18.f       3.         0.014579   2.8524     0.1974     2.8605     3.        
 1.05n      19.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 1.06n      21.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 1.07n      21.f       3.         0.006854   2.9703     0.010596   2.9942     3.        
 1.08n      20.f       3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 1.09n      20.f       3.         0.0032696  2.9919     0.0022846  2.999      3.        
 1.1n       20.f       3.         0.0022503  2.9959     0.0019288  2.9998     3.        
 1.11n      21.f       3.         0.0013128  2.9977     922.47u    2.9986     3.        
111.9 OUT->0 IN=1
 1.12n      21.f       3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 1.13n      21.f       19.124n   -0.40704    2.9141    -0.01498    2.9923     3.        
 1.14n      2.f       -17.735n    0.5343     3.1692     0.042958   3.0248     3.        
 1.15n     -3.f       -17.87n     1.3359     3.1487    -0.004148   2.987      3.        
 1.16n     -3.f       -18.048n    1.9187     2.7987    -0.060034   2.9795     3.        
 1.17n      0.        -18.207n    2.2628     2.1663    -0.12071    2.9776     3.        
 1.18n      0.         18.487n    2.4529     1.4159    -0.086254   3.0146     3.        
 1.19n      1.f       -18.297n    2.5819     0.75617    0.17333    3.104      3.        
 1.2n      -1.f        18.488n    2.7117     0.37349    0.69502    3.2132     3.        
 1.21n     -2.f       -18.317n    2.8274     0.21918    1.2838     3.0433     3.        
 1.22n     -2.f       -18.349n    2.8993     0.13802    1.7304     2.3696     3.        
122.7 IN ->0
 1.23n     -3.f       -18.363n    2.9388     0.075337   1.9629     1.1377     3.        
 1.24n     -2.f        18.407n    2.9686     0.062655   2.2211     0.23688    3.        
 1.25n     -1.f       -18.38n     2.9866     0.069408   2.548      0.050721   3.        
 1.26n      1.f        18.385n    2.9898     0.050173   2.7672     0.046515   3.        
 1.27n      2.f       -18.384n    2.9906     0.027479   2.8756     0.015018   3.        
 1.28n      4.f        18.389n    2.9926     0.015639   2.9376     0.011883   3.        
 1.29n      3.f       -18.382n    2.9936     0.0079157  2.9673     0.0040412  3.        
 1.3n       3.f        18.387n    2.9957     0.0044849  2.9838     0.0030582  3.        
 1.31n      4.f       -18.381n    2.9961     0.0021532  2.9915     0.0010785  3.        
 1.32n      6.f        18.383n    2.9969     0.0028274  2.9961     952.67u    3.        
132.7 OUT->1 IN=0
 1.33n      5.f       -18.38n     2.9975     712.98u    2.9976     63.645u    3.        
 1.34n      5.f        3.         3.1858     0.033583   3.0049     0.0032456  3.        
 1.35n      4.f        3.         1.863     -0.219      2.9468    -0.016924   3.        
 1.36n      11.f       3.         0.84      -0.064346   3.0129     0.015267   3.        
 1.37n      19.f       3.         0.35345    0.44749    3.1142     0.021062   3.        
 1.38n      17.f       3.         0.20266    1.124      3.1432    -0.0046323  3.        
 1.39n      12.f       3.         0.14347    1.7156     2.9043    -0.062023   3.        
 1.4n       13.f       3.         0.096736   2.1221     2.386     -0.12916    3.        
 1.41n      10.f       3.         0.059209   2.3611     1.6864    -0.11208    3.        
 1.42n      10.f       3.         0.037882   2.5175     1.0083     0.20747    3.        
 1.43n      14.f       3.         0.034014   2.6781     0.63886    1.2964     3.        
142.9 IN ->1
 1.44n      14.f       3.         0.026134   2.7933     0.41583    2.3973     3.        
 1.45n      15.f       3.         0.014579   2.8524     0.1974     2.8605     3.        
 1.46n      15.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 1.47n      15.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 1.48n      18.f       3.         0.006854   2.9703     0.010596   2.9942     3.        
 1.49n      16.f       3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 1.5n       17.f       3.         0.0032696  2.9919     0.0022846  2.999      3.        
 1.51n      14.f       3.         0.0022503  2.9959     0.0019287  2.9998     3.        
 1.52n      12.f       3.         0.0013128  2.9977     922.47u    2.9986     3.        
152.9 OUT->0 IN=1
 1.53n      13.f       3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 1.54n      14.f       743.77p   -0.40704    2.9141    -0.01498    2.9923     3.        
 1.55n      1.f        646.14p    0.5343     3.1692     0.042958   3.0248     3.        
 1.56n     -2.f        510.49p    1.3359     3.1487    -0.004148   2.987      3.        
 1.57n     -1.f        332.97p    1.9187     2.7987    -0.060034   2.9795     3.        
 1.58n      1.f        174.18p    2.2628     2.1663    -0.12071    2.9776     3.        
 1.59n      0.         106.46p    2.4529     1.4159    -0.086254   3.0146     3.        
 1.6n       1.f        84.008p    2.5819     0.75617    0.17333    3.104      3.        
 1.61n     -1.f        107.53p    2.7117     0.37349    0.69502    3.2132     3.        
 1.62n     -3.f        63.358p    2.8274     0.21918    1.2838     3.0433     3.        
 1.63n     -5.f        32.063p    2.8993     0.13802    1.7304     2.3696     3.        
163.7 IN ->0
 1.64n     -8.f        17.829p    2.9388     0.075337   1.9629     1.1377     3.        
 1.65n     -9.f        26.112p    2.9686     0.062655   2.2211     0.23688    3.        
 1.66n     -8.f        554.f      2.9866     0.069408   2.548      0.050721   3.        
 1.67n     -9.f        4.128p     2.9898     0.050173   2.7672     0.046515   3.        
 1.68n     -10.f      -3.p        2.9906     0.027479   2.8756     0.015018   3.        
 1.69n     -9.f        8.299p     2.9926     0.015639   2.9376     0.011883   3.        
 1.7n      -11.f      -904.f      2.9936     0.0079157  2.9673     0.0040412  3.        
 1.71n     -11.f       6.691p     2.9957     0.0044849  2.9838     0.0030582  3.        
 1.72n     -9.f        40.f       2.9961     0.0021531  2.9915     0.0010785  3.        
 1.73n     -9.f        2.371p     2.9969     0.0028275  2.9961     952.68u    3.        
173.7 OUT->1 IN=0
 1.74n     -7.f        949.f      2.9975     712.97u    2.9976     63.64u     3.        
 1.75n     -5.f        3.         3.1858     0.033583   3.0049     0.0032456  3.        
 1.76n     -6.f        3.         1.863     -0.219      2.9468    -0.016924   3.        
 1.77n      1.f        3.         0.84      -0.064346   3.0129     0.015267   3.        
 1.78n      5.f        3.         0.35345    0.44749    3.1142     0.021062   3.        
 1.79n      5.f        3.         0.20266    1.124      3.1432    -0.0046323  3.        
 1.8n       5.f        3.         0.14347    1.7156     2.9043    -0.062023   3.        
 1.81n      5.f        3.         0.096736   2.1221     2.386     -0.12916    3.        
 1.82n      5.f        3.         0.059209   2.3611     1.6864    -0.11208    3.        
 1.83n      3.f        3.         0.037882   2.5175     1.0083     0.20747    3.        
 1.84n      6.f        3.         0.034014   2.6781     0.63886    1.2964     3.        
183.9 IN ->1
 1.85n      5.f        3.         0.026134   2.7933     0.41583    2.3973     3.        
 1.86n      7.f        3.         0.014579   2.8524     0.1974     2.8605     3.        
 1.87n      12.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 1.88n      11.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 1.89n      9.f        3.         0.006854   2.9703     0.010596   2.9942     3.        
 1.9n       8.f        3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 1.91n      8.f        3.         0.0032696  2.9919     0.0022846  2.999      3.        
 1.92n      4.f        3.         0.0022503  2.9959     0.0019288  2.9998     3.        
 1.93n      4.f        3.         0.0013128  2.9977     922.47u    2.9986     3.        
193.9 OUT->0 IN=1
 1.94n      4.f        3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 1.95n      5.f        19.124n   -0.40704    2.9141    -0.01498    2.9923     3.        
 1.96n      2.f       -17.735n    0.5343     3.1692     0.042958   3.0248     3.        
 1.97n     -4.f       -17.87n     1.3359     3.1487    -0.004148   2.987      3.        
 1.98n     -5.f       -18.048n    1.9187     2.7987    -0.060034   2.9795     3.        
 1.99n     -2.f       -18.207n    2.2628     2.1663    -0.12071    2.9776     3.        
 2.n       -3.f        18.487n    2.4529     1.4159    -0.086254   3.0146     3.        
 2.01n     -5.f       -18.297n    2.5819     0.75617    0.17333    3.104      3.        
 2.02n     -5.f        18.488n    2.7117     0.37349    0.69502    3.2132     3.        
 2.03n     -8.f       -18.317n    2.8274     0.21918    1.2838     3.0433     3.        
 2.04n     -10.f      -18.349n    2.8993     0.13802    1.7304     2.3696     3.        
204.7 IN ->0
 2.05n     -11.f      -18.363n    2.9388     0.075337   1.9629     1.1377     3.        
 2.06n     -10.f       18.407n    2.9686     0.062655   2.2211     0.23688    3.        
 2.07n     -10.f      -18.38n     2.9866     0.069408   2.548      0.050721   3.        
 2.08n     -9.f        18.385n    2.9898     0.050173   2.7672     0.046515   3.        
 2.09n     -9.f       -18.384n    2.9906     0.027479   2.8756     0.015018   3.        
 2.1n      -9.f        18.389n    2.9926     0.015639   2.9376     0.011883   3.        
 2.11n     -8.f       -18.382n    2.9936     0.0079157  2.9673     0.0040412  3.        
 2.12n     -9.f        18.387n    2.9957     0.0044849  2.9838     0.0030582  3.        
 2.13n     -7.f       -18.381n    2.9961     0.0021532  2.9915     0.0010785  3.        
 2.14n     -7.f        18.383n    2.9969     0.0028274  2.9961     952.67u    3.        
214.7 OUT->1 IN=0
 2.15n     -6.f       -18.38n     2.9975     712.98u    2.9976     63.645u    3.        
 2.16n     -5.f        3.         3.1858     0.033583   3.0049     0.0032456  3.        
 2.17n     -4.f        3.         1.863     -0.219      2.9468    -0.016924   3.        
 2.18n      5.f        3.         0.84      -0.064346   3.0129     0.015267   3.        
 2.19n      13.f       3.         0.35345    0.44749    3.1142     0.021062   3.        
 2.2n       13.f       3.         0.20266    1.124      3.1432    -0.0046323  3.        
 2.21n      13.f       3.         0.14347    1.7156     2.9043    -0.062023   3.        
 2.22n      13.f       3.         0.096736   2.1221     2.386     -0.12916    3.        
 2.23n      12.f       3.         0.059209   2.3611     1.6864    -0.11208    3.        
 2.24n      14.f       3.         0.037882   2.5175     1.0083     0.20747    3.        
 2.25n      18.f       3.         0.034014   2.6781     0.63886    1.2964     3.        
225.0 IN ->1
 2.26n      17.f       3.         0.026134   2.7933     0.41583    2.3973     3.        
 2.27n      18.f       3.         0.014579   2.8524     0.1974     2.8605     3.        
 2.28n      18.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 2.29n      20.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 2.3n       20.f       3.         0.006854   2.9703     0.010596   2.9942     3.        
 2.31n      20.f       3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 2.32n      21.f       3.         0.0032696  2.9919     0.0022846  2.999      3.        
 2.33n      19.f       3.         0.0022503  2.9959     0.0019287  2.9998     3.        
 2.34n      19.f       3.         0.0013128  2.9977     922.47u    2.9986     3.        
235.0 OUT->0 IN=1
 2.35n      20.f       3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 2.36n      20.f       743.78p   -0.40704    2.9141    -0.01498    2.9923     3.        
 2.37n      2.f        646.13p    0.5343     3.1692     0.042958   3.0248     3.        
 2.38n     -2.f        510.49p    1.3359     3.1487    -0.004148   2.987      3.        
 2.39n     -1.f        332.96p    1.9187     2.7987    -0.060034   2.9795     3.        
 2.4n       1.f        174.18p    2.2628     2.1663    -0.12071    2.9776     3.        
 2.41n      1.f        106.46p    2.4529     1.4159    -0.086254   3.0146     3.        
 2.42n      3.f        84.005p    2.5819     0.75617    0.17333    3.104      3.        
 2.43n      1.f        107.54p    2.7117     0.37349    0.69502    3.2132     3.        
 2.44n     -2.f        63.355p    2.8274     0.21918    1.2838     3.0433     3.        
 2.45n     -4.f        32.06p     2.8993     0.13802    1.7304     2.3696     3.        
245.7 IN ->0
 2.46n     -7.f        17.825p    2.9388     0.075337   1.9629     1.1377     3.        
 2.47n     -8.f        26.117p    2.9686     0.062655   2.2211     0.23688    3.        
 2.48n     -6.f        551.f      2.9866     0.069408   2.548      0.050721   3.        
 2.49n     -6.f        4.135p     2.9898     0.050173   2.7672     0.046515   3.        
 2.5n      -6.f       -3.p        2.9906     0.027479   2.8756     0.015018   3.        
 2.51n     -4.f        8.308p     2.9926     0.015639   2.9376     0.011883   3.        
 2.52n     -6.f       -903.f      2.9936     0.0079157  2.9673     0.0040412  3.        
 2.53n     -5.f        6.701p     2.9957     0.0044849  2.9838     0.0030582  3.        
 2.54n     -3.f        43.f       2.9961     0.0021531  2.9915     0.0010785  3.        
 2.55n     -2.f        2.382p     2.9969     0.0028275  2.9961     952.68u    3.        
255.7 OUT->1 IN=0
 2.56n     -1.f        951.f      2.9975     712.97u    2.9976     63.64u     3.        
 2.57n      1.f        3.         3.1858     0.033583   3.0049     0.0032456  3.        
 2.58n     -2.f        3.         1.863     -0.219      2.9468    -0.016924   3.        
 2.59n      6.f        3.         0.84      -0.064346   3.0129     0.015267   3.        
 2.6n       13.f       3.         0.35345    0.44749    3.1142     0.021062   3.        
 2.61n      9.f        3.         0.20266    1.124      3.1432    -0.0046323  3.        
 2.62n      8.f        3.         0.14347    1.7156     2.9043    -0.062023   3.        
 2.63n      7.f        3.         0.096736   2.1221     2.386     -0.12916    3.        
 2.64n      3.f        3.         0.059209   2.3611     1.6864    -0.11208    3.        
 2.65n      2.f        3.         0.037882   2.5175     1.0083     0.20747    3.        
 2.66n      8.f        3.         0.034014   2.6781     0.63886    1.2964     3.        
266.0 IN ->1
 2.67n      9.f        3.         0.026134   2.7933     0.41583    2.3973     3.        
 2.68n      10.f       3.         0.014579   2.8524     0.1974     2.8605     3.        
 2.69n      14.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 2.7n       13.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 2.71n      15.f       3.         0.006854   2.9703     0.010596   2.9942     3.        
 2.72n      13.f       3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 2.73n      14.f       3.         0.0032696  2.9919     0.0022846  2.999      3.        
 2.74n      11.f       3.         0.0022503  2.9959     0.0019288  2.9998     3.        
 2.75n      12.f       3.         0.0013128  2.9977     922.47u    2.9986     3.        
276.0 OUT->0 IN=1
 2.76n      11.f       3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 2.77n      13.f       19.124n   -0.40704    2.9141    -0.01498    2.9923     3.        
 2.78n      2.f       -17.735n    0.5343     3.1692     0.042958   3.0248     3.        
 2.79n     -3.f       -17.87n     1.3359     3.1487    -0.004148   2.987      3.        
 2.8n      -4.f       -18.048n    1.9187     2.7987    -0.060034   2.9795     3.        
 2.81n      1.f       -18.207n    2.2628     2.1663    -0.12071    2.9776     3.        
 2.82n     -1.f        18.487n    2.4529     1.4159    -0.086254   3.0146     3.        
 2.83n      0.        -18.297n    2.5819     0.75617    0.17333    3.104      3.        
 2.84n     -2.f        18.488n    2.7117     0.37349    0.69502    3.2132     3.        
 2.85n     -3.f       -18.317n    2.8274     0.21918    1.2838     3.0433     3.        
 2.86n     -4.f       -18.349n    2.8993     0.13802    1.7304     2.3696     3.        
286.7 IN ->0
 2.87n     -4.f       -18.363n    2.9388     0.075337   1.9629     1.1377     3.        
 2.88n     -4.f        18.407n    2.9686     0.062655   2.2211     0.23688    3.        
 2.89n     -3.f       -18.38n     2.9866     0.069408   2.548      0.050721   3.        
 2.9n      -3.f        18.385n    2.9898     0.050173   2.7672     0.046515   3.        
 2.91n     -2.f       -18.384n    2.9906     0.027479   2.8756     0.015018   3.        
 2.92n     -1.f        18.389n    2.9926     0.015639   2.9376     0.011883   3.        
 2.93n     -2.f       -18.382n    2.9936     0.0079157  2.9673     0.0040412  3.        
 2.94n     -2.f        18.387n    2.9957     0.0044849  2.9838     0.0030582  3.        
 2.95n      1.f       -18.381n    2.9961     0.0021532  2.9915     0.0010785  3.        
 2.96n      0.         18.383n    2.9969     0.0028274  2.9961     952.67u    3.        
296.7 OUT->1 IN=0
 2.97n      1.f       -18.38n     2.9975     712.98u    2.9976     63.645u    3.        
 2.98n      1.f        3.         3.1858     0.033583   3.0049     0.0032456  3.        
 2.99n     -1.f        3.         1.863     -0.219      2.9468    -0.016924   3.        
 3.n        6.f        3.         0.84      -0.064346   3.0129     0.015267   3.        
 3.01n      18.f       3.         0.35345    0.44749    3.1142     0.021062   3.        
 3.02n      21.f       3.         0.20266    1.124      3.1432    -0.0046323  3.        
 3.03n      19.f       3.         0.14347    1.7156     2.9043    -0.062023   3.        
 3.04n      22.f       3.         0.096736   2.1221     2.386     -0.12916    3.        
 3.05n      19.f       3.         0.059209   2.3611     1.6864    -0.11208    3.        
 3.06n      17.f       3.         0.037882   2.5175     1.0083     0.20747    3.        
 3.07n      20.f       3.         0.034014   2.6781     0.63886    1.2964     3.        
307.0 IN ->1
 3.08n      21.f       3.         0.026134   2.7933     0.41583    2.3973     3.        
 3.09n      24.f       3.         0.014579   2.8524     0.1974     2.8605     3.        
 3.1n       25.f       3.         0.010745   2.9015     0.066201   2.9478     3.        
 3.11n      27.f       3.         0.0090727  2.9448     0.026418   2.9855     3.        
 3.12n      28.f       3.         0.006854   2.9703     0.010596   2.9942     3.        
 3.13n      30.f       3.         0.0049182  2.9845     0.0049048  2.9979     3.        
 3.14n      33.f       3.         0.0032696  2.9919     0.0022846  2.999      3.        
 3.15n      34.f       3.         0.0022503  2.9959     0.0019287  2.9998     3.        
 3.16n      35.f       3.         0.0013128  2.9977     922.47u    2.9986     3.        
317.0 OUT->0 IN=1
 3.17n      36.f       3.         0.0014651  2.9963     0.0013627  3.0004     3.        
 3.18n      37.f       743.8p    -0.40704    2.9141    -0.01498    2.9923     3.        
 3.19n      2.f        646.13p    0.5343     3.1692     0.042958   3.0248     3.        
 3.2n      -2.f        510.49p    1.3359     3.1487    -0.004148   2.987      3.        
 3.21n     -2.f        332.96p    1.9187     2.7987    -0.060034   2.9795     3.        
 3.22n     -1.f        174.17p    2.2628     2.1663    -0.12071    2.9776     3.        
 3.23n     -1.f        106.47p    2.4529     1.4159    -0.086254   3.0146     3.        
 3.24n      1.f        83.999p    2.5819     0.75617    0.17333    3.104      3.        
 3.25n     -2.f        107.54p    2.7117     0.37349    0.69502    3.2132     3.        
 3.26n     -5.f        63.348p    2.8274     0.21918    1.2838     3.0433     3.        
 3.27n     -6.f        32.054p    2.8993     0.13802    1.7304     2.3696     3.        
327.7 IN ->0
 3.28n     -8.f        17.82p     2.9388     0.075337   1.9629     1.1377     3.        
 3.29n     -9.f        26.12p     2.9686     0.062655   2.2211     0.23688    3.        
 3.3n      -8.f        546.f      2.9866     0.069408   2.548      0.050721   3.        
 3.31n     -8.f        4.137p     2.9898     0.050173   2.7672     0.046515   3.        
 3.32n     -7.f       -3.005p     2.9906     0.027479   2.8756     0.015018   3.        
 3.33n     -6.f        8.311p     2.9926     0.015639   2.9376     0.011883   3.        
 3.34n     -5.f       -906.f      2.9936     0.0079157  2.9673     0.0040412  3.        
